"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","GPU Deep Learning Workloads","Convolutional Network Forward Pass","0","0","1","0","0"
"","AMD GPU Accelerator","Transformer Encoder Latency","0","0","0","1","0"
"","NVIDIA GPU","cuDNN RNN (GRU) Throughput","0","0","0","1","0"
"","NVIDIA GPU","CNN Forward Pass Throughput","0","0","0","1","0"
"","GPU Specialized Performance","Mixed Precision Matrix Multiplication","0","0","0","1","0"
"","NVIDIA GPU","Transformer Encoder Inference","0","0","0","1","0"
"","NVIDIA GPU","Matrix Multiplication Throughput","0","0","0","1","0"
"","DirectML GPU Accelerator","End-to-End Inference","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU P2P Bandwidth (NVLink)","0","0","0","1","0"
"","GPU Performance Benchmarks","Inference FPS Benchmark","0","0","3","0","0"
"","DirectML GPU Accelerator","Mixed Precision Gain","0","0","0","1","0"
"","Intel GPU Accelerator","End-to-End Inference Throughput","0","0","0","1","0"
"","TensorFlow Distributed","Multi-GPU Training Simulation","0","0","0","1","0"
"","CUDA Tensor Cores","Matrix Multiply–Accumulate (MMA) TensorCore Benchmark","0","0","0","1","0"
"","System Parallelism","Multi-Threaded Load Test","0","0","1","0","0"
"","RAPIDS cuML","GPU Accelerated Linear Regression","0","0","0","1","0"
"","NVIDIA GPU","Automatic Mixed Precision (AMP) Speedup","0","0","0","1","0"
"","Intel GPU Accelerator","Device Memory Bandwidth","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU DDP (NCCL) Throughput","0","0","0","1","0"
"","System Resource Monitoring","Idle System Baseline Metrics","0","0","1","0","0"
"","DirectML GPU Accelerator","CNN Forward Throughput","0","0","0","1","0"
"","NVIDIA TensorRT","FP16 Inference Speedup","0","0","0","1","0"
"","GPU Core Compute Benchmarks","Matrix Multiplication Performance","0","0","1","0","0"
"","DirectML GPU Accelerator","BatchNorm Throughput","0","0","0","1","0"
"","NVIDIA GPU","cuFFT (FFT) Throughput","0","0","0","1","0"
"","NVIDIA GPU Accelerator","JIT Fusion Speedup","0","0","0","1","0"
"","NVIDIA CUDA Graphs","Kernel Launch Overhead Reduction","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Tensor Core FP16 vs FP32 Speedup","0","0","0","1","0"
"","AMD GPU Accelerator","VRAM Stability Test","0","0","0","1","0"
"","AMD GPU Accelerator","Device Memory Bandwidth","0","0","0","1","0"
"","AMD GPU Accelerator","CNN Forward Pass Throughput","0","0","0","1","0"
"","NVIDIA cuDNN","FP16 vs FP32 Speedup","0","0","0","1","0"
"","NVIDIA cuDNN","BatchNorm Throughput Test","0","0","0","1","0"
"","Intel GPU Accelerator","Transformer Encoder Latency","0","0","0","1","0"
"","Intel GPU Accelerator","GPU-CPU Transfer Bandwidth","0","0","0","1","0"
"","DirectML GPU Accelerator","Memory Alloc/Free Latency","0","0","0","1","0"
"","DirectML GPU Accelerator","Transformer Encoder Latency","0","0","0","1","0"
"","NVIDIA GPU Accelerator","CUDA Kernel Launch Latency","0","0","0","1","0"
"","NVIDIA GPU Accelerator","GPU Memory Bandwidth","0","0","0","1","0"
"","NVIDIA GPU","Sparse EmbeddingBag Lookup","0","0","0","1","0"
"","cuDNN","Convolution Benchmark","0","0","0","1","0"
"","AMD GPU Accelerator","Multi-GPU Sync & Scaling","0","0","0","1","0"
"","GPU Deep Learning Workloads","Model Inference Steady-State","0","0","3","0","0"
"","NVIDIA GNN","GNN (GCN) Inference Throughput","0","0","0","1","0"
"","NVIDIA GPU","DataLoader to GPU Transfer","0","0","0","1","0"
"","NVIDIA GPU Accelerator","AMP Training Step Throughput","0","0","0","1","0"
"","Intel GPU Accelerator","Mixed Precision BF16 Speedup","0","0","0","1","0"
"","NVIDIA GPU","GPU ↔ CPU Transfer Bandwidth","0","0","0","1","0"
"","AMD GPU Accelerator","Mixed Precision (BF16) Speedup","0","0","0","1","0"
"","NVIDIA GPU","VRAM Stability Test","0","0","0","1","0"
"","Intel GPU Accelerator","CNN Forward Pass Throughput","0","0","0","1","0"
"","Intel GPU Accelerator","Matrix Multiplication Throughput FP32","0","0","0","1","0"
"","AMD GPU Accelerator","End-to-end Inference Throughput","0","0","0","1","0"
"","GPU Resource Management","Memory Allocation and Cleanup","0","0","1","0","0"
"","PyTorch AMP","Automatic Mixed Precision Matrix Ops","0","0","0","1","0"
"","GPU Stability and Stress Testing","Sustained Compute Stress Test","0","0","1","0","0"
"","NVIDIA torch.compile","torch.compile vs Eager Speedup","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU DataParallel Throughput","0","0","0","1","0"
"","AMD GPU Accelerator","GPU-CPU Transfer Bandwidth","0","0","0","1","0"
"","System Baseline Benchmarks","CPU Matrix Multiplication Reference","0","0","1","0","0"
"","Intel GPU Accelerator","OpenCL Parallel Throughput","0","0","0","1","0"
"","Intel GPU Accelerator","Matrix Multiplication Throughput FP16","0","0","0","1","0"
"","DirectML GPU Accelerator","Tensor Add Bandwidth","0","0","0","1","0"
"","AMD GPU Accelerator","Matrix Multiplication Throughput FP16","0","0","0","1","0"
"","GPU Deep Learning Workloads","Transformer Encoder Inference","0","0","1","0","0"
"","NVIDIA cuDNN","Convolution Performance Test","0","0","0","1","0"
"","DirectML GPU Accelerator","FP32 Matrix Multiplication","0","0","0","1","0"
"","Data Pipeline Benchmarks","Simple CPU Data Preprocessing","0","0","1","0","0"
"","GPU Core Compute Benchmarks","Tensor Arithmetic Operations","0","0","1","0","0"
"","DirectML GPU Accelerator","FP16 Matrix Multiplication","0","0","0","1","0"
"","Python GPU Libraries","CuPy Vectorized Operations","0","0","0","1","0"
"","NVIDIA GPU Accelerator","Multi-GPU Synchronization","0","0","0","1","0"
